id,user_id,step_id,kp,score,comment,ai_score,created_at
50,9d1e7339-7eef-4052-9a76-815e5205c335,s2,KP020,2.0,,0.0,2026-02-15T11:42:26.754619
51,9d1e7339-7eef-4052-9a76-815e5205c335,s2,KP022,3.0,,0.0,2026-02-15T11:42:26.754619
52,9d1e7339-7eef-4052-9a76-815e5205c335,s2,KP013,4.0,,0.0,2026-02-23T20:14:44.927657
53,9d1e7339-7eef-4052-9a76-815e5205c335,s2,KP014,4.0,,0.0,2026-02-23T20:14:44.927657
54,9d1e7339-7eef-4052-9a76-815e5205c335,s2,KP015,4.0,,0.0,2026-02-23T20:14:44.927657
55,9d1e7339-7eef-4052-9a76-815e5205c335,s2,KP017,3.0,,0.0,2026-02-23T20:14:44.927657
56,9d1e7339-7eef-4052-9a76-815e5205c335,s2,KP021,4.0,,0.0,2026-02-23T20:14:44.927657
57,9d1e7339-7eef-4052-9a76-815e5205c335,s2,KP020,4.0,,0.0,2026-02-23T20:14:44.927657
58,9d1e7339-7eef-4052-9a76-815e5205c335,s3,KP028,2.0,,0.0,2026-02-23T20:37:24.878096
59,9d1e7339-7eef-4052-9a76-815e5205c335,s3,KP032,3.0,,0.0,2026-02-23T20:37:24.878096
60,9d1e7339-7eef-4052-9a76-815e5205c335,s3,KP040,4.0,,0.0,2026-02-23T20:37:24.878096
61,9d1e7339-7eef-4052-9a76-815e5205c335,s3,KP043,3.0,,0.0,2026-02-23T20:37:24.878096
62,9d1e7339-7eef-4052-9a76-815e5205c335,s3,KP046,4.0,,0.0,2026-02-23T20:37:24.878096
63,9d1e7339-7eef-4052-9a76-815e5205c335,s3,KP047,3.0,,0.0,2026-02-23T20:37:24.878096
64,9d1e7339-7eef-4052-9a76-815e5205c335,s3,KP056,4.0,,0.0,2026-02-23T20:37:24.878096
65,9d1e7339-7eef-4052-9a76-815e5205c335,s4,KP025,4.0,,0.0,2026-02-23T20:44:14.647919
66,9d1e7339-7eef-4052-9a76-815e5205c335,s4,KP026,4.0,,0.0,2026-02-23T20:44:14.647919
67,9d1e7339-7eef-4052-9a76-815e5205c335,s4,KP028,2.0,,0.0,2026-02-23T20:44:14.647919
68,9d1e7339-7eef-4052-9a76-815e5205c335,s4,KP032,4.0,,0.0,2026-02-23T20:44:14.647919
69,9d1e7339-7eef-4052-9a76-815e5205c335,s4,KP027,4.0,,0.0,2026-02-23T20:48:35.096139
70,9d1e7339-7eef-4052-9a76-815e5205c335,s4,KP045,4.0,,0.0,2026-02-23T20:48:35.096139
71,9d1e7339-7eef-4052-9a76-815e5205c335,s4,KP034,4.0,,0.0,2026-02-23T20:48:35.096139
72,9d1e7339-7eef-4052-9a76-815e5205c335,s4,KP047,3.0,,0.0,2026-02-23T20:48:35.096139
73,9d1e7339-7eef-4052-9a76-815e5205c335,s5,KP008,3.0,,0.0,2026-02-23T21:04:14.107187
74,9d1e7339-7eef-4052-9a76-815e5205c335,s5,KP031,4.0,,0.0,2026-02-23T21:04:14.107187
75,9d1e7339-7eef-4052-9a76-815e5205c335,s5,KP044,3.0,,0.0,2026-02-23T21:04:14.107187
76,9d1e7339-7eef-4052-9a76-815e5205c335,s5,KP042,5.0,,0.0,2026-02-23T21:04:14.107187
77,9d1e7339-7eef-4052-9a76-815e5205c335,s5,KP028,3.0,,0.0,2026-02-23T21:22:15.834457
78,9d1e7339-7eef-4052-9a76-815e5205c335,s5,KP029,2.0,,0.0,2026-02-23T21:22:15.834457
79,9d1e7339-7eef-4052-9a76-815e5205c335,s5,KP031,2.0,,0.0,2026-02-23T21:22:15.834457
80,9d1e7339-7eef-4052-9a76-815e5205c335,s5,KP042,5.0,,0.0,2026-02-23T21:22:15.834457
81,9d1e7339-7eef-4052-9a76-815e5205c335,s5,KP044,3.0,,0.0,2026-02-23T21:22:15.834457
82,9d1e7339-7eef-4052-9a76-815e5205c335,s5,KP063,4.0,,0.0,2026-02-23T21:22:15.834457
83,9d1e7339-7eef-4052-9a76-815e5205c335,s5,KP064,4.0,,0.0,2026-02-23T21:22:15.834457
84,9d1e7339-7eef-4052-9a76-815e5205c335,s6,KP039,4.0,,0.0,2026-02-23T21:25:33.508612
85,9d1e7339-7eef-4052-9a76-815e5205c335,s6,KP045,5.0,,,2026-02-23T21:25:33.508612
86,9d1e7339-7eef-4052-9a76-815e5205c335,s6,KP046,5.0,,,2026-02-23T21:25:33.508612
87,9d1e7339-7eef-4052-9a76-815e5205c335,s6,KP047,3.0,,0.0,2026-02-23T21:25:33.508612
88,9d1e7339-7eef-4052-9a76-815e5205c335,s6,KP032,3.0,,0.0,2026-02-23T21:25:33.508612
89,9d1e7339-7eef-4052-9a76-815e5205c335,s6,KP059,4.0,,0.0,2026-02-23T21:29:27.828488
90,9d1e7339-7eef-4052-9a76-815e5205c335,s6,KP060,5.0,,0.0,2026-02-23T21:29:27.828488
91,9d1e7339-7eef-4052-9a76-815e5205c335,s6,KP061,4.0,,0.0,2026-02-23T21:29:27.828488
92,9d1e7339-7eef-4052-9a76-815e5205c335,s6,KP062,3.0,,0.0,2026-02-23T21:29:27.828488
93,9d1e7339-7eef-4052-9a76-815e5205c335,s6,KP063,3.0,,0.0,2026-02-23T21:29:27.828488
94,9d1e7339-7eef-4052-9a76-815e5205c335,s6,KP064,4.0,,0.0,2026-02-23T21:29:27.828488
95,9d1e7339-7eef-4052-9a76-815e5205c335,s6,KP068,4.0,,0.0,2026-02-23T21:29:27.828488
96,9d1e7339-7eef-4052-9a76-815e5205c335,s7,KP040,4.0,,0.0,2026-02-23T21:39:48.176478
